iter	Passed	Remaining
401	17621	70048
402	17664	70002
403	17706	69947
404	17746	69889
405	17787	69833
406	17826	69773
407	17868	69722
408	17908	69663
409	17950	69612
410	17991	69557
411	18030	69494
412	18072	69444
413	18112	69388
414	18153	69333
415	18195	69282
416	18235	69224
417	18277	69173
418	18315	69109
419	18356	69055
420	18396	68998
421	18436	68941
422	18479	68894
423	18519	68836
424	18559	68777
425	18598	68719
426	18638	68660
427	18679	68607
428	18719	68549
429	18761	68500
430	18803	68451
431	18842	68391
432	18883	68337
433	18922	68276
434	18971	68252
435	19010	68194
436	19053	68148
437	19095	68097
438	19136	68044
439	19176	67988
440	19216	67931
441	19256	67875
442	19298	67828
443	19338	67772
444	19378	67717
445	19418	67659
446	19459	67607
447	19502	67561
448	19540	67500
449	19580	67443
450	19621	67391
451	19661	67337
452	19707	67301
453	19759	67286
454	19818	67296
455	19875	67298
456	19926	67280
457	19977	67259
458	20027	67237
459	20074	67205
460	20126	67191
461	20174	67161
462	20225	67143
463	20272	67109
464	20319	67076
465	20370	67057
466	20418	67026
467	20464	66990
468	20517	66976
469	20574	66975
470	20623	66951
471	20672	66921
472	20724	66906
473	20772	66875
474	20814	66826
475	20855	66772
476	20906	66750
477	20945	66692
478	20985	66637
479	21025	66580
480	21078	66565
481	21127	66538
482	21189	66553
483	21239	66526
484	21288	66499
485	21335	66465
486	21376	66411
487	21415	66353
488	21456	66301
489	21498	66250
490	21538	66194
491	21580	66144
492	21620	66090
493	21661	66037
494	21705	65993
495	21753	65962
496	21796	65916
497	21856	65919
498	21912	65914
499	21956	65869
500	22000	65824
501	22045	65785
502	22089	65742
503	22138	65713
504	22187	65684
505	22234	65647
506	22293	65648
507	22340	65613
508	22383	65567
509	22423	65512
510	22463	65456
511	22506	65408
512	22546	65355
513	22587	65300
514	22627	65245
515	22667	65192
516	22709	65141
517	22750	65088
518	22792	65040
519	22832	64985
520	22870	64925
521	22909	64867
522	22950	64813
523	22993	64767
524	23034	64716
525	23082	64683
526	23128	64644
527	23174	64607
528	23219	64565
529	23268	64536
530	23307	64478
531	23344	64417
532	23384	64362
533	23423	64305
534	23464	64254
535	23504	64198
536	23543	64141
537	23582	64084
538	23621	64027
539	23662	63977
540	23702	63921
541	23741	63865
542	23781	63810
543	23821	63756
544	23859	63698
545	23900	63647
546	23939	63591
547	23979	63535
548	24023	63493
549	24065	63446
550	24106	63394
551	24147	63342
552	24186	63286
553	24226	63234
554	24263	63173
